source_row	year	doi	title	why	status	epmc_pmcid	epmc_is_open_access	epmc_in_epmc	epmc_source_url	crossref_title	crossref_cc_license_url	crossref_license_version	crossref_fulltext_url	crossref_fulltext_content_type	notes	audit_schema
63	2025	10.1007/s11626-024-00971-7	Establishment, characterization, and sensory characteristics (taste and flavor) of an immortalized muscle cell line from the seven-band grouper Epinephelus septemfasciatus: implications for cultured s	Optimized serum/bFGF for grouper muscle cells	metadata_only_license_unverified		N	N		Establishment, characterization, and sensory characteristics (taste and flavor) of an immortalized muscle cell line from the seven-band grouper Epinephelus septemfasciatus: implications for cultured seafood applications			https://link.springer.com/content/pdf/10.1007/s11626-024-00971-7.pdf	application/pdf		zotero-oa-audit-v1
64	2025	10.1016/j.crfs.2025.101253	Isolation of high-purity muscle stem cells through ice-cold treatment method for the production of cell cultured meat	Isolation and expansion for cultured meat	epmc_jats_candidate	PMC12682152	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12682152/fullTextXML	Isolation of high-purity muscle stem cells through ice-cold treatment method for the production of cell cultured meat	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927125002849?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
65	2025	10.3390/foods14040678	Effects of Black Soldier Fly Larvae Hydrolysate on Culture of Primary Myogenic and Adipogenic Cells Isolated from Broilers for Cultured Meat Development	Hydrolysate as medium component tested	epmc_jats_candidate	PMC11854258	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11854258/fullTextXML	Effects of Black Soldier Fly Larvae Hydrolysate on Culture of Primary Myogenic and Adipogenic Cells Isolated from Broilers for Cultured Meat Development	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/14/4/678/pdf	unspecified		zotero-oa-audit-v1
66	2025	10.3389/fcell.2025.1680263	A novel proliferation synergy factor cocktail maintains proliferation and improves transfection efficiency in muscle cells and fibroblasts under low-serum conditions	Low-serum cocktail for muscle cells	epmc_jats_candidate	PMC12665707	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12665707/fullTextXML	A novel proliferation synergy factor cocktail maintains proliferation and improves transfection efficiency in muscle cells and fibroblasts under low-serum conditions	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fcell.2025.1680263/full	unspecified		zotero-oa-audit-v1
67	2025	10.5851/kosfa.2024.e129	Cutting-Edge Technologies of Meat Analogs: A Review	Reviews serum-free media development	epmc_jats_candidate	PMC11743842	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11743842/fullTextXML	Cutting-Edge Technologies of Meat Analogs: A Review	http://creativecommons.org/licenses/by-nc/3.0	unspecified	http://www.kosfaj.org/download/download_pdf?doi=10.5851/kosfa.2024.e129	application/pdf		zotero-oa-audit-v1
68	2025	10.3389/fnut.2025.1669909	Toward FGF2 reduction in cultured meat media: polyphenol salts enhance growth and differentiation of bESC aggregates	Polyphenol salts reduce FGF2 in media	epmc_jats_candidate	PMC12709626	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12709626/fullTextXML	Toward FGF2 reduction in cultured meat media: polyphenol salts enhance growth and differentiation of bESC aggregates	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fnut.2025.1669909/full	unspecified		zotero-oa-audit-v1
69	2025	10.1016/j.psj.2025.105875	Forty-one degrees celsius enhances proliferation of chicken muscle satellite cells via mechanistic target of rapamycin activation and mitochondrial metabolism	Temperature effect on proliferation of chicken satellite cel	epmc_jats_candidate	PMC12495149	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12495149/fullTextXML	Forty-one degrees celsius enhances proliferation of chicken muscle satellite cells via mechanistic target of rapamycin activation and mitochondrial metabolism	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S0032579125011162?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
70	2025	10.1016/j.foodres.2025.115800	Nattokinase as a novel food-grade enzyme for long term cell subculture	Nattokinase for myoblast subculture, food-grade	metadata_only_license_unverified		N	N		Nattokinase as a novel food-grade enzyme for long term cell subculture			https://api.elsevier.com/content/article/PII:S0963996925001371?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
71	2025	10.1038/s41538-025-00480-1	Dynamic shifts in metabolic demand during myogenic progression in porcine skeletal muscle stem cells	Metabolic shifts in porcine muscle stem cells	epmc_jats_candidate	PMC12215071	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12215071/fullTextXML	Dynamic shifts in metabolic demand during myogenic progression in porcine skeletal muscle stem cells	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41538-025-00480-1.pdf	application/pdf		zotero-oa-audit-v1
72	2025	10.15283/ijsc24039	Thermostable bFGF Improves Cell Lifespan by Enhancing Cell Activity in the Long-Term Culture of Human Orbicularis Oculi Stem Cells	bFGF improves stem cell expansion	epmc_jats_candidate	PMC12394077	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12394077/fullTextXML	Thermostable bFGF Improves Cell Lifespan by Enhancing Cell Activity in the Long-Term Culture of Human Orbicularis Oculi Stem Cells	http://creativecommons.org/licenses/by-nc/4.0/	tdm	https://pdf.medrang.co.kr/Ijsc2/2025/018/Ijsc018-03-301.pdf	unspecified		zotero-oa-audit-v1
73	2025	10.1371/journal.pone.0321650	The potential function of soy protein hydrolysate to induce myogenic differentiation of C2C12 cells	Soy hydrolysate for myogenic differentiation	epmc_jats_candidate	PMC12002504	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12002504/fullTextXML	The potential function of soy protein hydrolysate to induce myogenic differentiation of C2C12 cells	http://creativecommons.org/licenses/by/4.0/	vor	https://dx.plos.org/10.1371/journal.pone.0321650	unspecified		zotero-oa-audit-v1
74	2025	10.1002/cpz1.70252	Ex Vivo Expansion and Cryopreservation of Goat Satellite Cells	Satellite cell expansion with growth factors	metadata_only_license_unverified		N	N		Ex Vivo Expansion and Cryopreservation of Goat Satellite Cells			https://currentprotocols.onlinelibrary.wiley.com/doi/pdf/10.1002/cpz1.70252	unspecified		zotero-oa-audit-v1
75	2025	10.1007/s00449-025-03148-y	Development of oyster protein-enhanced scaffolds with seven-band grouper muscle satellite cells for cultured seafood production	Serum + bFGF for satellite cells	metadata_only_license_unverified		N	N		Development of oyster protein-enhanced scaffolds with seven-band grouper muscle satellite cells for cultured seafood production			https://link.springer.com/content/pdf/10.1007/s00449-025-03148-y.pdf	application/pdf		zotero-oa-audit-v1
76	2025	10.5851/kosfa.2024.e50	The L-Ascorbic Acid Increases Proliferation and Differentiation of Yanbian Cattle Skeletal Muscle Satellite Cells by Activating the Akt/mTOR/P70S6K Signaling Pathway	AA boosts satellite cell proliferation	epmc_jats_candidate	PMC11907417	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11907417/fullTextXML	The L-Ascorbic Acid Increases Proliferation and Differentiation of Yanbian Cattle Skeletal Muscle Satellite Cells by Activating the Akt/mTOR/P70S6K Signaling Pathway	http://creativecommons.org/licenses/by-nc/3.0	unspecified	http://www.kosfaj.org/download/download_pdf?doi=10.5851/kosfa.2024.e50	application/pdf		zotero-oa-audit-v1
77	2025	10.5187/jast.2023.e130	Effects of culture temperature (37°C, 39°C) and oxygen concentration (20%, 2%) on proliferation and differentiation of C2C12 cells	C2C12 proliferation under temperature/oxygen	epmc_jats_candidate	PMC11833204	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11833204/fullTextXML	"Effects of culture temperature (37°C, 39°C) and oxygen
                    concentration (20%, 2%) on proliferation and differentiation of C2C12
                    cells"	http://creativecommons.org/licenses/by-nc/4.0	tdm	http://www.ejast.org/download/download_pdf?doi=10.5187/jast.2023.e130	application/pdf		zotero-oa-audit-v1
78	2025	10.1016/j.tifs.2025.105409	Recent advances and strategies in cultured satellite cell cultivation for efficient cultured meat production: A review	Review on satellite cell culture conditions and FBS replacem	metadata_only_license_unverified					Recent advances and strategies in cultured satellite cell cultivation for efficient cultured meat production: A review			https://api.elsevier.com/content/article/PII:S092422442500545X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
79	2025	10.1016/j.fbio.2025.106535	Establishment and characterization of immortalized Tibetan pig skeletal muscle satellite cells for cultured meat applications	Satellite cell expansion for cultured meat	metadata_only_license_unverified					Establishment and characterization of immortalized Tibetan pig skeletal muscle satellite cells for cultured meat applications			https://api.elsevier.com/content/article/PII:S2212429225007114?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
80	2025	10.1016/j.fbio.2025.107977	Egg components as bioactive and structural inputs for cultured meat	Egg components as media supplements	metadata_only_license_unverified					Egg components as bioactive and structural inputs for cultured meat			https://api.elsevier.com/content/article/PII:S2212429225021546?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
81	2025	10.1016/j.fbio.2025.107716	Molecular dynamics of immortalized chicken fibroblasts from adherent cultivation to carrier-free suspension culture	Suspension culture for expansion	metadata_only_license_unverified					Molecular dynamics of immortalized chicken fibroblasts from adherent cultivation to carrier-free suspension culture			https://api.elsevier.com/content/article/PII:S2212429225018930?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
82	2025	10.1016/j.fbio.2025.106875	Natural polyphenols naringin targeting GSK3(3: an effective strategy for enhancing myoblast proliferation and myogenesis for cultured meat production	Polyphenols enhance myoblast proliferation for cultured meat	metadata_only_license_unverified					Natural polyphenols naringin targeting GSK3β: an effective strategy for enhancing myoblast proliferation and myogenesis for cultured meat production			https://api.elsevier.com/content/article/PII:S221242922501051X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
83	2025	10.1016/j.fbio.2025.107794	Comparative analysis of the proliferation and differentiation of stem cells derived from perirenal and subcutaneous adipose tissues of Hanwoo	Stem cell proliferation comparison	metadata_only_license_unverified					Comparative analysis of the proliferation and differentiation of stem cells derived from perirenal and subcutaneous adipose tissues of Hanwoo			https://api.elsevier.com/content/article/PII:S2212429225019716?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
84	2025	10.1007/s11947-025-04134-8	Novel Edible Insect Extracts as a Fetal Bovine Serum Alternative for Culturing Olive Flounder (Paralichthys olivaceus) Stem Cell Lines	Insect extracts as FBS alternative for stem cells	metadata_only_license_unverified					Novel Edible Insect Extracts as a Fetal Bovine Serum Alternative for Culturing Olive Flounder (Paralichthys olivaceus) Stem Cell Lines			https://link.springer.com/content/pdf/10.1007/s11947-025-04134-8.pdf	application/pdf		zotero-oa-audit-v1
85	2025	10.1016/j.afres.2025.101221	Effect of whey hydrolysate in fetal bovine serum replacement medium on protein synthesis mechanism of Hanwoo satellite cells	Whey hydrolysate in FBS replacement for satellite cells	crossref_cc_vor_candidate					Effect of whey hydrolysate in fetal bovine serum replacement medium on protein synthesis mechanism of Hanwoo satellite cells	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2772502225005268?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
86	2024	10.1016/j.crfs.2024.100842	Machine learning tools for peptide bioactivity evaluation - Implications for cell culture media optimization and the broader cultivated meat industry	Peptides for media optimization	epmc_jats_candidate	PMC11491887	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11491887/fullTextXML	Machine learning tools for peptide bioactivity evaluation – Implications for cell culture media optimization and the broader cultivated meat industry	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927124001680?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
87	2024	10.3389/fnut.2024.1315555	Challenges and opportunities in cell expansion for cultivated meat	Cell expansion challenges and medium	epmc_jats_candidate	PMC10879929	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10879929/fullTextXML	Challenges and opportunities in cell expansion for cultivated meat	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fnut.2024.1315555/full	unspecified		zotero-oa-audit-v1
88	2024	10.1016/j.biteb.2024.101834	Black soldier fly bioconversion to cultivated meat media components using blue catfish gut microbiome	Hydrolysates as media components	metadata_only_license_unverified					Black soldier fly bioconversion to cultivated meat media components using blue catfish gut microbiome			https://api.elsevier.com/content/article/PII:S2589014X24000756?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
89	2024	10.1016/j.crsus.2023.100012	Cultured meat production-Scale and quality	GF overexpression in serum-free medium	crossref_cc_vor_candidate					Cultured meat production—Scale and quality	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2949790623000125?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
90	2024	10.1016/j.spc.2024.07.023	Life cycle assessment of Beefy-9 and Beefy-R serum-free culture media for cell-cultivated beef production	Serum-free media for bovine myoblasts	metadata_only_license_unverified					Life cycle assessment of Beefy-9 and Beefy-R serum-free culture media for cell-cultivated beef production			https://api.elsevier.com/content/article/PII:S2352550924002161?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
91	2024	10.1016/j.foodres.2024.115173	Grifola frondosa extract as a fetal bovine serum supplement for the culture of bovine muscle satellite cells under low serum conditions	FBS reduction with Grifola extract for satellite cells	crossref_cc_vor_candidate		N	N		Grifola frondosa extract as a fetal bovine serum supplement for the culture of bovine muscle satellite cells under low serum conditions	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S0963996924012432?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
92	2024	10.1016/j.fbio.2024.104610	Efficient expansion culture of bovine myogenic cells with differentiation capacity using muscle extract-supplemented medium	Muscle extract-supplemented medium for myogenic expansion	crossref_cc_vor_candidate					Efficient expansion culture of bovine myogenic cells with differentiation capacity using muscle extract-supplemented medium	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S221242922401040X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
93	2024	10.1016/j.crfs.2024.100855	NMR metabolomics of plant and yeast-based hydrolysates for cell culture media applications - A comprehensive assessment	Hydrolysates for cell culture media	epmc_jats_candidate	PMC11490674	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11490674/fullTextXML	NMR metabolomics of plant and yeast-based hydrolysates for cell culture media applications — A comprehensive assessment	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927124001813?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
94	2024	10.1016/j.foodchem.2024.138515	Non-animal protein hydrolysates from agro-industrial wastes: A prospect of alternative inputs for cultured meat	Hydrolysates as serum replacement	metadata_only_license_unverified		N	N		Non-animal protein hydrolysates from agro-industrial wastes: A prospect of alternative inputs for cultured meat			https://api.elsevier.com/content/article/PII:S0308814624001638?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
95	2024	10.1016/j.fufo.2024.100403	The roles of media ingredients in muscle cell culture for cultured meat production-A mini-review	Review of media ingredients	crossref_cc_vor_candidate					The roles of media ingredients in muscle cell culture for cultured meat production—A mini-review	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833524001096?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
96	2024	10.1038/s42003-024-07400-1	A spontaneously immortalized muscle stem cell line (EfMS) from brown-marbled grouper for cell-cultured fish meat production	Muscle stem cell line, taurine substitute	epmc_jats_candidate	PMC11668886	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11668886/fullTextXML	A spontaneously immortalized muscle stem cell line (EfMS) from brown-marbled grouper for cell-cultured fish meat production	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s42003-024-07400-1.pdf	application/pdf		zotero-oa-audit-v1
97	2024	10.1111/1750-3841.16884	Development of a serum-free medium for myoblasts long-term expansion and 3D culture for cell-based meat	Serum-free medium for myoblast expansion	metadata_only_license_unverified		N	N		Development of a serum‐free medium for myoblasts long‐term expansion and 3D culture for cell‐based meat			https://ift.onlinelibrary.wiley.com/doi/pdf/10.1111/1750-3841.16884	unspecified		zotero-oa-audit-v1
98	2024	10.1016/j.crfs.2024.100879	Effect of glucose and lysine supplementation on myogenic and adipogenic gene expression in muscle satellite cells isolated from Hanwoo with different genotypes of PLAG1: Implications for cell-based fo	Glucose/lysine effects on satellite cells	epmc_jats_candidate	PMC11530603	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11530603/fullTextXML	Effect of glucose and lysine supplementation on myogenic and adipogenic gene expression in muscle satellite cells isolated from Hanwoo with different genotypes of PLAG1: Implications for cell-based food production	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927124002053?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
99	2024	10.1016/j.foodchem.2024.140621	Plant-based hydrolysates as building blocks for cellular agriculture	Hydrolysates for myoblast expansion medium	crossref_cc_vor_candidate		N	N		Plant-based hydrolysates as building blocks for cellular agriculture	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S0308814624022714?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
100	2024	10.1038/s41598-024-70377-8	A serum-free culture medium production system by co-culture combining growth factor-secreting cells and l-lactate-assimilating cyanobacteria for sustainable cultured meat production	Serum-free medium with growth factor secretion	epmc_jats_candidate	PMC11343879	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11343879/fullTextXML	A serum-free culture medium production system by co-culture combining growth factor-secreting cells and l-lactate-assimilating cyanobacteria for sustainable cultured meat production	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41598-024-70377-8.pdf	application/pdf		zotero-oa-audit-v1
101	2024	10.3390/foods13233741	Screening Algal and Cyanobacterial Extracts to Identify Potential Substitutes for Fetal Bovine Serum in Cellular Meat Cultivation	Screening FBS substitutes for cell media	epmc_jats_candidate	PMC11640053	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11640053/fullTextXML	Screening Algal and Cyanobacterial Extracts to Identify Potential Substitutes for Fetal Bovine Serum in Cellular Meat Cultivation	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/13/23/3741/pdf	unspecified		zotero-oa-audit-v1
102	2024	10.1111/1750-3841.17347	Study on the feasibility of using livestock blood as a fetal bovine serum substitute for cultured meat	FBS substitute from livestock blood	crossref_cc_vor_candidate		N	N		Study on the feasibility of using livestock blood as a fetal bovine serum substitute for cultured meat	http://creativecommons.org/licenses/by/4.0/	vor	https://ift.onlinelibrary.wiley.com/doi/pdf/10.1111/1750-3841.17347	unspecified		zotero-oa-audit-v1
103	2024	10.1016/j.foodres.2024.115073	An efficient serum-free medium for ex vivo expansion of myoblasts from Larimichthys crocea for cultured meat production	Serum-free medium for myoblast expansion	metadata_only_license_unverified		N	N		An efficient serum-free medium for ex vivo expansion of myoblasts from Larimichthys crocea for cultured meat production			https://api.elsevier.com/content/article/PII:S0963996924011438?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
104	2024	10.1016/j.bbrc.2024.150850	A diarylheptanoid derivative mediates glycogen synthase kinase 3β to promote the porcine muscle satellite cell proliferation: Implications for cultured meat production	GSK3β inhibitor for satellite cell proliferation	metadata_only_license_unverified		N	N		A diarylheptanoid derivative mediates glycogen synthase kinase 3β to promote the porcine muscle satellite cell proliferation: Implications for cultured meat production			https://api.elsevier.com/content/article/PII:S0006291X2401386X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
105	2024	10.3390/ijms25115824	Development of a Normal Porcine Cell Line Growing in a Heme-Supplemented, Serum-Free Condition for Cultured Meat	Serum-free heme medium for porcine cells	epmc_jats_candidate	PMC11172042	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11172042/fullTextXML	Development of a Normal Porcine Cell Line Growing in a Heme-Supplemented, Serum-Free Condition for Cultured Meat	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/1422-0067/25/11/5824/pdf	unspecified		zotero-oa-audit-v1
106	2024	10.1016/j.foodres.2024.114138	Metabolomic changes in culture media with varying passage numbers of pig muscle stem cell culture for cultured meat production	Metabolomics of pig muscle stem cell media	metadata_only_license_unverified		N	N		Metabolomic changes in culture media with varying passage numbers of pig muscle stem cell culture for cultured meat production			https://api.elsevier.com/content/article/PII:S0963996924002084?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
107	2024	10.1007/978-1-0716-3609-1_15	Bovine Skeletal Muscle Satellite Cells: Isolation, Growth, and Differentiation	Satellite cell isolation, growth, differentiation medium	metadata_only_license_unverified		N	N		Bovine Skeletal Muscle Satellite Cells: Isolation, Growth, and Differentiation			https://link.springer.com/content/pdf/10.1007/978-1-0716-3609-1_15	unspecified		zotero-oa-audit-v1
108	2024	10.5851/kosfa.2024.e72	Effect of Chicken Age on Proliferation and Differentiation Abilities of Muscle Stem Cells and Nutritional Characteristics of Cultured Meat Tissue	Chicken satellite cell proliferation medium	epmc_jats_candidate	PMC11377197	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11377197/fullTextXML	"Effect of Chicken Age on Proliferation and Differentiation Abilities
                    of Muscle Stem Cells and Nutritional Characteristics of Cultured Meat
                    Tissue"	http://creativecommons.org/licenses/by-nc/3.0	unspecified	http://www.kosfaj.org/download/download_pdf?doi=10.5851/kosfa.2024.e72	application/pdf		zotero-oa-audit-v1
109	2024	10.1016/j.fochx.2024.101202	Preliminary study on comparison of egg extraction methods for development of fetal bovine serum substitutes in cultured meat	FBS substitute from egg for cultured meat	epmc_jats_candidate	PMC10904906	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10904906/fullTextXML	Preliminary study on comparison of egg extraction methods for development of fetal bovine serum substitutes in cultured meat	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2590157524000890?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
110	2024	10.1016/j.foodres.2024.114303	"Corrigendum to ""Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat"" [Food Res. Int.174P1 (2023) 113617]"	FBS substitutes for cultured meat medium	metadata_only_license_unverified		N	N		Corrigendum to “Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat” [Food Res. Int.174P1 (2023) 113617]			https://api.elsevier.com/content/article/PII:S0963996924003739?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
111	2024	10.5187/jast.2023.e115	Characteristics of bovine muscle satellite cell from different breeds for efficient production of cultured meat	Bovine satellite cell proliferation comparison	epmc_jats_candidate	PMC11647411	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11647411/fullTextXML	Characteristics of bovine muscle satellite cell from different breeds for efficient production of cultured meat	http://creativecommons.org/licenses/by-nc/4.0	tdm	http://www.ejast.org/download/download_pdf?doi=10.5187/jast.2023.e115	application/pdf		zotero-oa-audit-v1
112	2024	10.3390/foods13040563	Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production	Polysaccharides from seaweed hydrolysate for muscle stem cel	epmc_jats_candidate	PMC10887812	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10887812/fullTextXML	Effect of Crude Polysaccharides from Ecklonia cava Hydrolysate on Cell Proliferation and Differentiation of Hanwoo Muscle Stem Cells for Cultured Meat Production	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/13/4/563/pdf	unspecified		zotero-oa-audit-v1
113	2024	10.1016/j.crfs.2024.100678	Targeting myostatin using quercetin as a media supplement to improve myogenesis for cultured meat production: An in silico and in vitro study	Quercetin as media supplement for myogenesis	epmc_jats_candidate	PMC10828575	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10828575/fullTextXML	Targeting myostatin using quercetin as a media supplement to improve myogenesis for cultured meat production: An in silico and in vitro study	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927124000042?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
114	2024	10.1038/s41538-024-00355-x	Conditioned serum-free culture medium accomplishes adhesion and proliferation of bovine myogenic cells on uncoated dishes	Serum-free medium for bovine myogenic cells	epmc_jats_candidate	PMC11666793	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11666793/fullTextXML	Conditioned serum-free culture medium accomplishes adhesion and proliferation of bovine myogenic cells on uncoated dishes	https://creativecommons.org/licenses/by-nc-nd/4.0	vor	https://www.nature.com/articles/s41538-024-00355-x.pdf	application/pdf		zotero-oa-audit-v1
115	2024	10.1002/btpr.3402	Proliferation of mammalian cells with Chlorococcum littorale algal compounds without serum support	Algal compounds replace serum for proliferation	metadata_only_license_unverified		N	N		"Proliferation of mammalian cells with
                    <i>Chlorococcum littorale</i>
                    algal compounds without serum support"			https://aiche.onlinelibrary.wiley.com/doi/pdf/10.1002/btpr.3402	unspecified		zotero-oa-audit-v1
116	2024	10.1016/j.foodres.2023.113794	Recombinant bovine FGF1 promotes muscle satellite cells mitochondrial fission and proliferation in serum-free conditions	FGF1 in serum-free satellite cell proliferation	metadata_only_license_unverified		N	N		Recombinant bovine FGF1 promotes muscle satellite cells mitochondrial fission and proliferation in serum-free conditions			https://api.elsevier.com/content/article/PII:S096399692301342X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
117	2024	10.1152/ajpcell.00231.2024	Isolation of a persistently quiescent muscle satellite cell population	Muscle satellite cell isolation, quiescence	metadata_only_license_unverified		N	N		Isolation of a persistently quiescent muscle satellite cell population			https://journals.physiology.org/doi/pdf/10.1152/ajpcell.00231.2024	unspecified		zotero-oa-audit-v1
118	2024	10.1007/s00203-024-04149-3	Recombinant lactate-assimilating cyanobacteria reduce high-concentration culture-associated cytotoxicity in mammalian cells	Co-culture reduces cytotoxicity for muscle cells	metadata_only_license_unverified		N	N		Recombinant lactate-assimilating cyanobacteria reduce high-concentration culture-associated cytotoxicity in mammalian cells			https://link.springer.com/content/pdf/10.1007/s00203-024-04149-3.pdf	application/pdf		zotero-oa-audit-v1
119	2024	10.1021/acs.jafc.4c00624	Integrated Omics Approach: Revealing the Mechanism of Auxenochlorella pyrenoidosa Protein Extract Replacing Fetal Bovine Serum for Fish Muscle Cell Culture	Algae extract replaces FBS for fish muscle cells	metadata_only_license_unverified		N	N		Integrated Omics Approach: Revealing the Mechanism of <i>Auxenochlorella pyrenoidosa</i> Protein Extract Replacing Fetal Bovine Serum for Fish Muscle Cell Culture			https://pubs.acs.org/doi/pdf/10.1021/acs.jafc.4c00624	application/pdf		zotero-oa-audit-v1
120	2024		Foundational Concepts Underlying Successful Cell/Tissue Culture Strategies for Cultivated Meat.	Cell culture strategies for meat	missing_doi											zotero-oa-audit-v1
121	2024		Food Industry By-products And Additives As Possible Serum-alternatives In Cultivated Meat	serum alternatives for meat	missing_doi											zotero-oa-audit-v1
122	2024		Expansion Of Bovine Muscle Cells With Maintaining Differentiation Ability In 3D Culture System For Production Of Tissue-engineered Meat	Bovine muscle cell expansion medium	missing_doi											zotero-oa-audit-v1
123	2024	10.1016/j.ifset.2024.103644	Low-cost protein extracts and hydrolysates from plant-based agro-industrial waste: Inputs of interest for cultured meat	Plant hydrolysates as FBS alternative	metadata_only_license_unverified					Low-cost protein extracts and hydrolysates from plant-based agro-industrial waste: Inputs of interest for cultured meat			https://api.elsevier.com/content/article/PII:S1466856424000833?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
