relevance	has_pdf	year	doi	title	why	model	run_id
no	no	2025	10.3390/s25226935	Blockchain-Enabled Identity Based Authentication Scheme for Cellular Connected Drones	Blockchain for drone security	deepseek-chat	20260715T011514
no	no	2025	10.1007/s10343-025-01221-w	Tropospheric Ozone and Its Effect On Crops: in Perspective to Indian Agriculture	Ozone effects on crops	deepseek-chat	20260715T011514
no	no	2025	10.1109/access.2025.3641487	Field Validated Hybrid ESP-NOW and Long Range IoT Monitoring System for Energy Autonomous Precision Agriculture	IoT monitoring for agriculture	deepseek-chat	20260715T011514
no	no	2025	10.1007/s42729-025-02613-7	Insight Into the Role of Silicon on Seedling Emergence and Vigour Under Abiotic Stress for Climate Resilient Agriculture	Plant abiotic stress, not cell culture	deepseek-chat	20260715T011514
no	yes	2023	10.1007/s11356-023-25722-1	A series of spatio-temporal analyses and predicting modeling of land use and land cover changes using an integrated Markov chain and cellular automata models	Land use modeling, not cell culture	deepseek-chat	20260715T011514
no	no	2024	10.1109/iscaie61308.2024.10576526	Performance Enhancement of 5G Cellular-Connected UAV in Palm Oil Plantation using Antenna Beamforming	5G UAV communication, not biology	deepseek-chat	20260715T011514
no	no	2024	10.1039/d4en00112e	Harnessing nanobiotechnology for drought stress: transforming agriculture's future; what, why and how?	Nanobiotechnology for drought, not cell culture	deepseek-chat	20260715T011514
no	no	2024	10.1109/nfv-sdn61811.2024.10807478	A Mixture of Experts for Estimating Cellular Networks Failure Duration	Cellular network failure, not biology	deepseek-chat	20260715T011514
no	no	2023	10.1177/00368504231221672	A review on toxicity of nanomaterials in agriculture: Current scenario and future prospects	Nanomaterial toxicity in plants	deepseek-chat	20260715T011514
no	no	2024	10.1109/anzcc59813.2024.10432816	Easy Planting with Distributed Cellular Plant Factory*	Plant factory, not animal cell culture	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.landusepol.2022.106112	Land space optimization of urban-agriculture-ecological functions in the Changsha-Zhuzhou-Xiangtan Urban Agglomeration, China	Urban land optimization, not cell culture	deepseek-chat	20260715T011514
no	no	2023	10.1007/s12571-023-01356-6	Agriculture for the Anthropocene: novel applications of technology and the future of food	General food system framing	deepseek-chat	20260715T011514
no	no	2023	10.1007/s10661-023-11968-2	LULC change detection using support vector machines and cellular automata-based ANN models in Guna Tana watershed of Abay basin, Ethiopia	Land use change detection	deepseek-chat	20260715T011514
no	yes	2023	10.5829/ije.2023.36.02b.14	Integrated Dynamic Cellular Manufacturing Systems and Hierarchical Production Planning with Worker Assignment and Stochastic Demand	Manufacturing systems, not biology	deepseek-chat	20260715T011514
no	no	2026	10.1080/27658511.2026.2633480	Agriculture-driven land transformation: Predicting future land use changes in Makoni District, Zimbabwe using landsat data and cellular automata	Land use prediction	deepseek-chat	20260715T011514
no	yes	2025	10.3390/plants14050716	Nanomaterials in Agriculture: A Pathway to Enhanced Plant Growth and Abiotic Stress Resistance	Nanomaterials for plants	deepseek-chat	20260715T011514
no	no	2025	10.3390/agronomy15051131	Nanoparticles for Sustainable Agriculture: Assessment of Benefits and Risks	Nanoparticles for crop agriculture	deepseek-chat	20260715T011514
no	yes	2022	10.3389/fpls.2022.1025974	Nanosilicon: An approach for abiotic stress mitigation and sustainable agriculture	Nanosilicon for abiotic stress	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.techfore.2024.123912	Food innovation towards a sustainable world: A study on intention to purchase lab-grown meat	Consumer purchase intention study	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.foodqual.2022.104573	Consumers' attitudes towards lab-grown meat, conventionally raised meat and plant-based protein alternatives	Consumer attitudes survey	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.appet.2022.105990	A cross-country investigation of social image motivation and acceptance of lab-grown meat in Singapore and the United States	Consumer acceptance study, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1093/qopen/qoad030	Positive and negative information effects on consumer preferences for lab grown meat	Consumer preference study, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1080/19368623.2025.2567264	When norms meet innovation: how pro-social, self-interest, and normative motives shape lab-grown meat acceptance in restaurants	Consumer behavior study, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1108/bfj-09-2022-0751	Innovative food and sustainable consumption behaviour: the role of communication focus and consumer-related characteristics in lab-grown meat (LGM) consumption	Consumer reaction study, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1002/vetr.5282	Lab-grown meat hits the UK pet food market	Pet food market news, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1108/bfj-03-2021-0214	Food choice drivers of potential lab-grown meat consumers in Australia	Consumer food choice study, not medium	deepseek-chat	20260715T011514
no	no	2019	10.1080/00130095.2018.1508994	Making Value Out of Ethics: The Emerging Economic Geography of Lab-grown Meat and Other Animal-free Food Products	Economic geography analysis, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.eng.2024.02.002	Customers Start Eating Lab-Grown Meat-With a Side of Uncertainty	Consumer uncertainty article, not medium	deepseek-chat	20260715T011514
no	yes	2024	10.1007/s11673-023-10254-7	Flesh Without Blood: The Public Health Benefits of Lab-Grown Meat	Public health benefits, not medium	deepseek-chat	20260715T011514
no	no	2019	10.1007/s10806-019-09759-2	Lab-Grown Meat and Veganism: A Virtue-Oriented Perspective	Virtue ethics perspective, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1038/d41586-024-02273-0	This lab-grown meat probably tastes like real beef	Sensory/texture, not medium	deepseek-chat	20260715T011514
no	no	2024		"""Lab-grown Meat is the Future"" Part 6 of the Series on Meat Myths: Cultured Meat is a highly interesting Development"	General opinion, not medium	deepseek-chat	20260715T011514
no	no	2018	10.1057/s41292-017-0082-z	Meat cultures: Lab-grown meat and the politics of contamination	Politics/ethics, not medium	deepseek-chat	20260715T011514
no	yes	2019	10.1038/d41586-019-00373-w	Lab-grown meat gets rare funding boost	Funding news, not medium	deepseek-chat	20260715T011514
no	no	2023		Lab-Grown Meat Just Got Tastier	Taste, not medium	deepseek-chat	20260715T011514
no	no	2023		Try turning lab-grown meat tech to other uses	Opinion, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1002/vetr.3124	Lab-grown meat carries environmental cost	Environmental cost, not medium	deepseek-chat	20260715T011514
no	no	2023		Lab-grown meat can be environmentally sound	Environment, not medium	deepseek-chat	20260715T011514
no	no	2023		Here's what we know about lab-grown meat and climate change	Climate change, not medium	deepseek-chat	20260715T011514
no	no	2023		Lab -grown meat's dirty secret The carbon footprint of cultivated meat may be far worse than that of regular beef	Carbon footprint, not medium	deepseek-chat	20260715T011514
no	no	2022		Food heavyweights back lab-grown meat	Industry news, not scientific medium	deepseek-chat	20260715T011514
no	no	2014	10.1007/s10806-014-9508-9	Technology as Responsibility: Failure, Food Animals, and Lab-grown Meat	Ethics/philosophy, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1163/23524588-00001131	Lab-grown insect meat - Chemical and biological insights - A comprehensive review	Insect cell culture review, not muscle medium	deepseek-chat	20260715T011514
no	no	2020	10.1016/j.foodpol.2020.101931	Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?	Consumer preferences, not medium	deepseek-chat	20260715T011514
no	no	2015		The In Vitro Meat Cookbook The Lab Grown Hamburger and 45 Other Recipes	Cookbook, not scientific medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.tifs.2024.104474	Market outlook for meat alternatives: Challenges, opportunities, and new developments	Market outlook, not medium	deepseek-chat	20260715T011514
no	no	2019		The Meat of the Matter: Regulating a Laboratory-Grown Alternative	Regulation, not medium	deepseek-chat	20260715T011514
no	yes	2024	10.3390/foods13111627	Is Sustainable Consumption a Sufficient Motivator for Consumers to Adopt Meat Alternatives? A Consumer Perspective on Plant-Based, Cell-Culture-Derived, and Insect-Based Alternatives	Consumer acceptance, not medium	deepseek-chat	20260715T011514
no	yes	2025	10.5851/kosfa.2024.e94	Consumer Preferences for Conventional Meat and Meat Alternatives	Consumer preference study, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/aepp.13446	Using machine-learning methods in meta-analyses: An empirical application on consumer acceptance of meat alternatives	Meta-analysis on consumer acceptance	deepseek-chat	20260715T011514
no	yes	2024	10.7554/elife.98918	Tailoring the taste of cultured meat	Focus on flavor, not expansion medium	deepseek-chat	20260715T011514
no	no	2024		Analysis of the Perception of Consumers in Romania Towards the Use of Insects and Artificial Meat in Public Food	Consumer perception survey	deepseek-chat	20260715T011514
no	no	2025	10.1108/bfj-03-2025-0355	Lab-grown bites: What drives or stops the world from eating cultured meat? A global perspective on developed and developing countries	Consumer acceptance review	deepseek-chat	20260715T011514
no	yes	2022	10.1111/1477-9552.12467	Are consumers willing to pay for in-vitro meat? An investigation of naming effects	Willingness-to-pay study	deepseek-chat	20260715T011514
no	no	2026	10.1007/s44187-026-00817-z	Public perceptions of lab-grown muscle cells as food in Italy, Germany, Serbia, and Hungary	Public perception study	deepseek-chat	20260715T011514
no	yes	2022	10.3828/extr.2022.11	In Vitro Meat and Science Fiction Contemporary Narratives of Cultured Flesh	Science fiction analysis	deepseek-chat	20260715T011514
no	no	2021		LAB to TABLE	General sustainability discussion, not medium	deepseek-chat	20260715T011514
no	no	2025	10.3390/su17177993	Consumer Trust in Emerging Food Technologies: A Comparative Analysis of Croatia and India	Consumer trust survey, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.tifs.2024.104670	A narrative review: 3D bioprinting of cultured muscle meat and seafood products and its potential for the food industry	3D bioprinting review, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1016/j.cobeha.2025.101617	Naturalness shapes public support for sustainability technology	Public perception of technology	deepseek-chat	20260715T011514
no	no	2025	10.1108/nfs-04-2025-0132	Space nutrition for long-duration missions: innovations and emerging Indian astronauts' corps perspectives	Space nutrition overview, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.ijbiomac.2024.139354	An overview of recent progress in the molecular mechanisms and key biological macromolecules involved in limb regeneration of decapods	Limb regeneration, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.jafr.2024.101354	Canadians' experiences of alternative protein foods and their intentions to alter current dietary patterns	Consumer survey on alternative proteins	deepseek-chat	20260715T011514
no	no	2024	10.1080/15528014.2022.2163455	Smart food: novel foods, food security, and the Smart Nation in Singapore	Policy and smart nation, not medium	deepseek-chat	20260715T011514
no	yes	2020	10.5187/jast.2020.62.2.111	Meat analog as future food: a review	Review of meat analogs, not cell culture medium	deepseek-chat	20260715T011514
no	yes	2021	10.1016/j.jenvp.2021.101645	Disgusting? No, just deviating from internalized norms. Understanding consumer skepticism toward sustainable food alternatives	Consumer skepticism, not culture medium	deepseek-chat	20260715T011514
no	no	2023	10.1038/d41587-022-00018-w	Chicken from cells is safe to eat, says FDA	FDA safety approval, not medium	deepseek-chat	20260715T011514
no	yes	2019	10.4995/carpe2019.2019.10197	Capacity building on the field of Life Sciences - fields to articulate project ideas for CARPE partners	Capacity building, not cell culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1080/10408398.2025.2471013	Can lab-grown milk be a novel trend in the dairy industry?	Lab-grown milk, not muscle cells	deepseek-chat	20260715T011514
no	no	2026	10.1080/87559129.2025.2491548	A Comparative Assessment of the Economic, Technological, Sustainability and Ethical Aspects of Lab-Grown Beef and Traditional Beef	Economic/sustainability assessment, not medium	deepseek-chat	20260715T011514
no	no	2025	10.29261/pakvetj/2025.222	Comprehensive Review on Tackling Antibiotic Resistance in Traditional Meat via Innovative Alternative Meat Solutions	Antibiotic resistance, not culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1007/s11625-025-01677-9	Exploring the sustainability narratives of cultured meat	Sustainability narratives, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1186/s40712-025-00336-2	Fabrication and evaluation of a 3D decellularized-plant scaffold modified with composite hydrogel for bone tissue engineering	Bone tissue engineering, not muscle cells	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.mtbio.2025.102601	Porcine decellularized splenic matrix hydrogel-based vesicle sustained-release System: A dual-regulatory biomaterial for accelerated wound healing via angiogenesis and immune remodeling	Wound healing, not muscle cell expansion	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.jtice.2025.106325	Decellularized porcine urinary bladder matrix as a dynamic biomaterial scaffold for myocardial cell adhesion	Cardiac scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/marc.202300508	Construction of a Decellularized Multicomponent Extracellular Matrix Interpenetrating Network Scaffold by Gelatin Microporous Hydrogel 3D Cell Culture System	Chondrocyte scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2026	10.26599/nr.2025.94908255	Magnesium-EGCG composite deer antler decellularized ECM hydrogel for diabetic wound healing	Diabetic wound dressing, not medium	deepseek-chat	20260715T011514
no	yes	2023	10.3390/polym15122591	Hydrogel-Based Biomaterial as a Scaffold for Gingival Regeneration: A Systematic Review of In Vitro Studies	Gingival regeneration scaffold review	deepseek-chat	20260715T011514
no	no	2026	10.3390/gels12020115	A New Cardiac Decellularized Extracellular Matrix (dECM)-Based Hydrogel: From Its Development with a Standardized Myocardial Decellularization Procedure to In Vitro Model Applications	Cardiac dECM hydrogel, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.bioactmat.2024.12.006	Biomaterial scaffold stiffness influences the foreign body reaction, tissue stiffness, angiogenesis and neuroregeneration in spinal cord injury	Spinal cord scaffold stiffness study	deepseek-chat	20260715T011514
no	no	2020	10.1177/0885328220921328	Thermosensitive injectable decellularized nucleus pulposus hydrogel as an ideal biomaterial for nucleus pulposus regeneration	Nucleus pulposus regeneration scaffold	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.ijbiomac.2025.145373	Biotransformation method for corneal tissue engineering: In vitro study of the fabrication and characterization of a decellularized hydrogel from salmon skin extracellular matrix	Corneal tissue engineering hydrogel	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.jddst.2025.107109	Multifunctional hydrogel based on decellularized intestinal matrix, carboxymethyl cellulose and ciprofloxacin for accelerated wound healing	Wound healing hydrogel, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1016/j.exer.2025.110730	A sustainable tissue-specific hydrogel from decellularized corneal ECM for 3D In vitro ocular models	Ocular model, not muscle/meat	deepseek-chat	20260715T011514
no	no	2026	10.1016/j.colsurfa.2025.138843	Cytocompatible, hemocompatible, and bioactive hydrogel fabricated using decellularized tendon, carboxymethyl chitosan and oxidized pullulan with antibacterial and ROS-scavenging properties	Tendon hydrogel, not muscle medium	deepseek-chat	20260715T011514
no	no	2017	10.1002/jbm.a.36025	Hydrogel derived from decellularized porcine adipose tissue as a promising biomaterial for soft tissue augmentation	Adipose hydrogel, not muscle expansion	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.matchemphys.2025.130532	Fiber-reinforced hydrogel combined with 3D printed scaffolds for regeneration of osteochondral defects	Osteochondral scaffold, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.actbio.2025.02.043	Inflammation-modulating elastic decellularized extracellular matrix scaffold promotes meniscus regeneration	Meniscus scaffold, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1166/jbn.2023.3706	A Hierarchically Micro- and Nanofibrous Hybrid Hydrogel Derived from Decellularized Skin Matrix with High Bioactivity and Tunable Mechanical Properties for Accelerated Wound Healing	Wound healing hydrogel, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1021/acsabm.2c00449	Surface Modification of Decellularized Heart Valve by the POSS-PEG Hybrid Hydrogel to Prepare a Composite Scaffold Material with Anticalcification Potential	Heart valve scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1093/rb/rbae039	Sustained delivery of NT-3 and curcumin augments microenvironment modulation effects of decellularized spinal cord matrix hydrogel for spinal cord injury repair	Spinal cord hydrogel, not medium	deepseek-chat	20260715T011514
no	no	2025	10.14716/ijtech.v16i5.7808	Biomaterial Characterization of Decellularized Human Amniotic Membrane Seeded with Fetal Human Cardiac Fibroblasts for Cardiac Tissue Engineering	Cardiac tissue, not muscle medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.jot.2025.03.023	The mitochondrial protectant SS31 optimized decellularized Wharton's jelly scaffold improves allogeneic chondrocyte implantation-mediated articular cartilage repair	Cartilage scaffold, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1021/acsbiomaterials.4c01195	Microstructural and Micromechanical Properties of Decellularized Fibrocartilaginous Scaffold	Scaffold for fibrocartilage repair, not culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.ijbiomac.2025.145449	Fabrication of a decellularized periosteum matrix-based alginate hydrogel containing collagen for enhanced diabetic wound healing via immuno-neurovascular modulation	Wound healing hydrogel, not muscle cell expansion	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.mtchem.2025.103094	Chitosan hydrogel reinforced with decellularized umbilical cord extracellular matrix and carbon nanotubes: a new trend for cartilage regeneration	Cartilage regeneration scaffold, not culture medium	deepseek-chat	20260715T011514
no	no	2025	10.17691/stm2025.17.6.02	Decellularized Nerve Scaffold in a Rat Model of Extensive Peripheral Nerve Damage	Nerve scaffold, not muscle cell medium	deepseek-chat	20260715T011514
no	no	2024	10.1021/acs.biomac.3c01137	Tilapia-Derived Granular Hydrogel as a 3D Scaffold Promoting Rapid Wound Healing	Wound healing scaffold, not culture medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.ijbiomac.2024.136340	Fabrication and characterization of nanohydroxyapatite/chitosan/ decellularized placenta scaffold for bone tissue engineering applications	Bone scaffold, not muscle cell medium	deepseek-chat	20260715T011514
no	no	2025	10.1002/smmd.70022	Polydopamine-Integrated Porcine Small Intestine Decellularized Extracellular Matrix Hydrogel Microparticles for Wound Healing	Wound healing microparticles, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.cej.2024.151138	Polydopamine-integrated tumor decellularized extracellular matrix hydrogel microparticles for wound healing	Wound healing, not culture medium	deepseek-chat	20260715T011514
no	no	2024	10.1007/s11626-024-00937-9	Decellularized leaf-based biomaterial supports osteogenic differentiation of dental pulp mesenchymal stem cells	Osteogenic differentiation scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.colsurfa.2024.135992	Human decellularized adipose matrix derived hydrogel facilitates human umbilical cord-derived mesenchymal stem cells delivery with clinical translational potential value in accelerating wound healing	Wound healing, not muscle cell expansion	deepseek-chat	20260715T011514
no	yes	2024	10.1080/10255842.2024.2448557	Numerical modeling of hydrogel scaffold anisotropy during extrusion-based 3D printing for tissue engineering	Scaffold printing, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1186/s12951-025-03328-8	Decellularized extracellular matrix-loaded exosome hydrogel for cell-free tracheal scaffold in tracheal defect reconstruction and repair	Tracheal scaffold, not medium	deepseek-chat	20260715T011514
no	yes	2025	10.34172/bi.30007	Retinoic acid-releasing scaffold based on chitosan hydrogel and testis decellular plates	Testis scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2026	10.1016/j.nantod.2025.102968	Biohybrid decellularized peritumoral tissue hydrogel for liver failure treatment	Liver scaffold, not medium	deepseek-chat	20260715T011514
no	yes	2025	10.1002/agt2.674	Decellularized umbilical cord wrapped with conductive hydrogel for peripheral nerve regeneration	Nerve conduit, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.ijbiomac.2024.133217	Evaluation of the effects of decellularized extracellular matrix nanoparticles incorporation on the polyhydroxybutyrate/nano chitosan electrospun scaffold for cartilage tissue engineering	Cartilage scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/adhm.202400529	Engineered Microenvironmental Cues from Fiber-Reinforced Hydrogel Composites Drive Tenogenesis and Aligned Collagen Deposition	Tendon scaffold, not medium	deepseek-chat	20260715T011514
no	no	2020	10.1002/jbm.a.36954	A biphasic, demineralized, and Decellularized allograft bone-hydrogel scaffold with a cell-based BMP-7 delivery system for osteochondral defect regeneration	Bone scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1007/s10924-024-03284-8	Incorporation of GelMA/PEGDA into the Decellularized Cornea as a Potential Hybrid Scaffold for In Situ Repairing of Deep Anterior Corneal Defects	Corneal scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.61186/ibj.3971	Enhancement of Wound Healing and Angiogenesis Using Mouse Embryo Fibroblasts Loaded in Decellularized Skin Scaffold	Wound healing, not muscle expansion medium	deepseek-chat	20260715T011514
no	no	2021	10.1021/acs.biomac.1c00366	Engineering a Highly Biomimetic Chitosan-Based Cartilage Scaffold by Using Short Fibers and a Cartilage-Decellularized Matrix	Cartilage scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/adma.202409400	Biodegradable Piezoelectric-Conductive Integrated Hydrogel Scaffold for Repair of Osteochondral Defects	Osteochondral scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2018	10.1016/j.actbio.2018.04.001	Hydrogel derived from porcine decellularized nerve tissue as a promising biomaterial for repairing peripheral nerve defects	Nerve repair hydrogel, not muscle medium	deepseek-chat	20260715T011514
no	yes	2023	10.3390/ijms242417483	Injectable Xenogeneic Dental Pulp Decellularized Extracellular Matrix Hydrogel Promotes Functional Dental Pulp Regeneration	Dental pulp regeneration, not muscle medium	deepseek-chat	20260715T011514
no	yes	2023	10.3390/cells12141864	Perfusion and Ultrasonication Produce a Decellularized Porcine Whole-Ovary Scaffold with a Preserved Microarchitecture	Ovary scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2026	10.1007/s00784-026-06761-7	Decellularized bone matrix-enriched 3D-printed GelMA scaffold as a cell-homing platform: analysis using an artificial pulp chamber model	Bone scaffold, not muscle medium	deepseek-chat	20260715T011514
no	yes	2023	10.3390/polym15081868	Chondrogenic Differentiation of Adipose-Derived Stromal Cells Induced by Decellularized Cartilage Matrix/Silk Fibroin Secondary Crosslinking Hydrogel Scaffolds with a Three-Dimensional Microstructure	Cartilage differentiation, not expansion medium	deepseek-chat	20260715T011514
no	yes	2023	10.1515/ntrev-2023-0151	Decellularized extracellular matrix as a promising biomaterial for musculoskeletal tissue regeneration	Review of dECM, not muscle medium	deepseek-chat	20260715T011514
no	yes	2024	10.1002/mabi.202300295	Decellularized Bone Matrix/45S5 Bioactive Glass Biocomposite Hydrogel-Based Constructs with Angiogenic and Osteogenic Properties: Ex Ovo and Ex Vivo Evaluations	Bone/angiogenic scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.tice.2025.102726	Exploring the potential of solid and liquid amniotic membrane biomaterial in 3D models for prostate cancer research: A comparative analysis with 2D models	Prostate cancer, not muscle/meat	deepseek-chat	20260715T011514
no	no	2020	10.1016/j.cej.2019.122986	3D printing electrospinning fiber-reinforced decellularized extracellular matrix for cartilage regeneration	Cartilage regeneration, not muscle	deepseek-chat	20260715T011514
no	no	2019	10.1080/00914037.2018.1525733	Inorganic calcium filled bacterial cellulose based hydrogel scaffold: novel biomaterial for bone tissue regeneration	Bone tissue, not muscle	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.bioadv.2023.213696	GelMA-catechol coated FeHAp nanorods functionalized nanofibrous reinforced bio-instructive and mechanically robust composite hydrogel scaffold for bone tissue engineering	Bone tissue engineering, not muscle	deepseek-chat	20260715T011514
no	no	2021	10.1021/acsabm.0c01544	Anticalcification Potential of POSS-PEG Hybrid Hydrogel as a Scaffold Material for the Development of Synthetic Heart Valve Leaflets	Heart valve, not muscle	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.mtbio.2023.100725	Biomimetic hydrogel derived from decellularized dermal matrix facilitates skin wounds healing	Skin wound healing, not muscle	deepseek-chat	20260715T011514
no	no	2023	10.1039/d2bm02111k	Post-decellularized printing of cartilage extracellular matrix: distinction between biomaterial ink and bioink	Cartilage ECM printing, not muscle	deepseek-chat	20260715T011514
no	no	2017	10.1016/j.msec.2017.05.116	Design of a hybrid biomaterial for tissue engineering: Biopolymer-scaffold integrated with an autologous hydrogel carrying mesenchymal stem-cells	Wound dressing, not muscle	deepseek-chat	20260715T011514
no	no	2023	10.22074/cellj.2023.563370.1148	Decellularized Lung Extracellular Matrix Scaffold Promotes Human Embryonic Stem Cell Differentiation towards Alveolar Progenitors	Lung differentiation, not muscle	deepseek-chat	20260715T011514
no	no	2023	10.1039/d3ra00851g	Methylcellulose/agarose hydrogel loaded with short electrospun PLLA/laminin fibers as an injectable scaffold for tissue engineering/3D cell culture model for tumour therapies	Tumor model, not muscle	deepseek-chat	20260715T011514
no	yes	2022	10.3390/bios12070521	3D Bioprinting of Multi-Material Decellularized Liver Matrix Hydrogel at Physiological Temperatures	Bioprinting liver matrix, not muscle medium	deepseek-chat	20260715T011514
no	no	2025	10.3390/bioengineering13010024	From Production to the Clinic: Decellularized Extracellular Matrix as a Biomaterial for Tissue Engineering and Regenerative Medicine	Decellularized ECM for tissue engineering	deepseek-chat	20260715T011514
no	yes	2021	10.3390/ijms22073635	Silk Fiber-Reinforced Hyaluronic Acid-Based Hydrogel for Cartilage Tissue Engineering	Cartilage scaffold, not muscle medium	deepseek-chat	20260715T011514
no	no	2018	10.1002/jbm.a.36282	Hydrogel/fiber conductive scaffold for bone tissue engineering	Bone scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/adhm.202400668	Augmentation of Tendon and Ligament Repair with Fiber-Reinforced Hydrogel Composites	Tendon/ligament scaffold review	deepseek-chat	20260715T011514
no	yes	2023	10.1590/1678-4324-2023220292	Decellularized Wharton's Jelly: Biomaterial Potential for Regenerative Medicine Applications - A Mini-Review	Wharton's jelly biomaterial review	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.ijbiomac.2024.134936	Biomimetic fiber/hydrogel composite scaffolds based on chitosan hydrogel and surface modified PCL chopped-microfibers	Chitosan/PCL scaffold, not medium	deepseek-chat	20260715T011514
no	yes	2022	10.3390/jfb13040165	Construction of Artificial Ovaries with Decellularized Porcine Scaffold and Its Elicited Immune Response after Xenotransplantation in Mice	Artificial ovary scaffold, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.jconrel.2025.113661	Decellularized extracellular matrix as a drug delivery carrier	dECM drug delivery, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1039/d1bm00470k	Decellularized scaffold and its elicited immune response towards the host: the underlying mechanism and means of immunomodulatory modification	Immune response to scaffold	deepseek-chat	20260715T011514
no	no	2020	10.1126/sciadv.abb6763	Tough and tunable scaffold-hydrogel composite biomaterial for soft-to-hard musculoskeletal tissue interfaces	Scaffold for tendon-bone interface, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1089/ten.tea.2020.0377	Swelling Behaviors of 3D Printed Hydrogel and Hydrogel-Microcarrier Composite Scaffolds	Hydrogel swelling, not culture medium	deepseek-chat	20260715T011514
no	no	2022		Hydrogel modification of 3D printing hybrid tracheal scaffold to construct an orthotopic transplantation	Tracheal scaffold, not medium focus	deepseek-chat	20260715T011514
no	no	2025	10.1002/adfm.202504124	Low-Crosslinked Hydrophilic Decellularized Adipose Matrix Hydrogels Achieve Efficient and Functional Xenotransplant Fat Regeneration by Optimizing Stem Cell Niche	Adipose matrix hydrogel, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.ijbiomac.2022.04.188	Gelatin/sodium alginate hydrogel-coated decellularized porcine coronary to construct tissue blood vessels	Vascular scaffold, not medium	deepseek-chat	20260715T011514
no	yes	2023	10.1186/s12938-023-01120-z	The application of composite scaffold materials based on decellularized vascular matrix in tissue engineering: a review	Review of vascular scaffolds, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1007/s10924-024-03230-8	Biomimetic ECM-Based Hybrid Scaffold for Cartilage Tissue Engineering Applications	Cartilage scaffold, not medium	deepseek-chat	20260715T011514
